STULS,ESCS,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,gender,TEACHBEHA,SBHL,PV1READ
7,1.2734,0.9207,-0.6552,-0.1798,0.2012,-0.6576,1.3517,-0.2644,-0.8687,1.2186,0.6012,-1.1507,-0.2047,0.5693,-0.7592,-0.6723,-0.3236,-0.8109,0.4683,0.3085,0.2907,2,-0.1274,1.3333334,1
2,0.6953,1.3671,0.2485,-0.0418,-0.6555,-0.6576,0.5102,0.1915,0.1744,1.2186,-2.1428,-0.6583,-0.2047,-0.6545,-0.4342,-0.9827,-1.1176,-0.4909,-1.4972,-0.4415,0.7703,2,-0.7767,1,1
3,1.0767,-0.0502,-0.5575,-0.3001,0.5121,1.0346,0.4764,0.8329,-0.6079,2.0378,1.6762,0.0321,1.2643,1.1448,0.052,-0.92,0.1869,0.2883,0.1447,0.1889,0.7703,2,0.9677,1,1
2,-0.5716,2.0345,1.314,0.3183,0.3686,-0.6576,2.0871,2.0073,1.3209,2.0378,1.0891,1.0844,0.849,0.6291,-0.0288,-0.9827,-0.5928,-0.144,-0.2151,-0.1858,-0.7823,2,-0.1274,1.3333334,1
7,1.4536,2.0345,0.7015,0.2329,1.251,1.0346,2.0871,0.4546,0.1744,-0.043,1.6762,0.0083,0.7871,0.9982,-1.059,0.2621,1.2386,-0.0328,-0.5589,0.9683,-0.7823,2,3.7879,1,1
0,0.8346,0.871,1.314,1.1049,1.3514,0.6402,2.0871,2.0073,1.5687,0.444,-0.5358,0.4667,1.2643,1.1448,-0.1748,0.2621,-0.5928,0.7872,1.2329,-0.3558,-0.7823,2,1.6299,1,1
5,0.7651,2.0345,0.1597,-0.0424,-0.6555,-0.6576,-0.62,-0.1687,-0.2934,1.4734,0.6012,0.0281,0.1956,-0.1015,-0.2006,-0.3121,0.1869,0.2877,-0.6331,-0.4415,0.2907,1,-0.7833,1,1
3,1.2232,1.1945,-0.013,0.0345,-0.1625,-0.6576,1.4882,2.0073,0.9684,0.444,-0.5107,0.0083,-0.5707,1.1448,-0.1748,-0.0193,-1.3186,-0.7617,-0.2151,-1.186,1.2327,1,1.6842,1,1
4,-0.1293,0.4922,1.314,-0.328,0.8163,0.5029,0.2147,-0.5786,-0.2934,2.0378,0.6012,0.024,-0.4112,-0.1015,0.4637,-0.9827,-1.1176,0.8021,-0.7637,-1.3242,0.2907,2,-2.0409,1.6666666,1
7,-0.7944,0.7767,-0.2023,-0.5794,-0.3253,-0.6576,0.2464,0.1067,0.1744,-0.4686,0.6012,-0.6583,-0.2661,0.7068,0.8794,-0.9827,0.1869,-0.0614,-0.2151,-0.3184,-0.7823,2,2.1583,1,1
5,0.9619,2.0345,1.314,-0.2551,0.5121,0.6364,0.378,-0.4708,1.8245,2.0378,-0.9391,1.0844,1.2643,1.1448,0.8207,-0.9827,1.2386,1.5024,1.008,-0.6621,0.2907,2,-0.7833,1.3333334,1
2,0.5753,-0.6741,-0.1298,-0.0706,0.5121,-0.6576,1.0419,-0.2644,0.9888,1.2186,0.6012,-0.6583,0.6314,-0.7233,0.3335,-0.9827,0.1869,-0.0614,-1.4972,-0.7362,-0.7823,2,0.933,2.3333333,1
10,0.9503,2.0345,1.314,1.8202,1.5844,1.0346,2.0871,2.0073,1.8245,-0.6142,1.6762,-0.6583,0.7871,1.1448,-0.687,0.2621,0.5012,-0.4684,-0.4347,0.6818,-0.7823,1,-0.7833,1,1
8,1.0952,2.0345,1.314,1.8202,0.7743,1.0346,2.0871,2.0073,0.636,-1.0299,1.6762,1.0844,-0.2047,-0.1015,0.4637,0.2621,0.1869,1.0615,0.3468,0.6818,-0.7823,1,3.7879,1,1
7,0.7377,1.4022,-0.1719,0.3737,-0.6555,-0.6576,0.4764,2.0073,-0.2934,-0.043,0.6012,-0.6583,-0.2047,-0.1015,0.052,-0.9827,0.1869,-0.0614,0.3468,-0.7564,-0.7823,1,-1.2356,1,1
5,-0.3721,-0.8281,0.6259,1.1049,0.7743,0.2169,0.6118,0.1915,-0.3449,0.444,-0.2814,0.4667,-0.2047,0.6291,1.8905,-0.9827,-0.5928,-1.0974,0.7181,-0.914,-0.7823,2,-0.3913,1,1
6,1.0126,1.3671,0.7015,1.8202,-1.6391,1.0346,0.5102,-0.4708,-1.0615,2.0378,0.6012,1.0844,-0.9792,-0.1015,0.4637,0.2621,1.2386,-0.4684,-1.3162,-0.3184,-0.7823,1,1.6299,1.3333334,1
7,-0.0847,-0.0424,0.7015,-0.2546,-0.3253,1.0346,0.5102,-0.2644,1.3209,1.563,0.6012,-0.6117,2.0054,0.5693,-0.4342,1.348,0.7301,0.3858,0.9703,-0.3184,-0.7823,1,1.6842,1,1
4,0.8116,-0.2846,-0.0439,0.373,0.3993,0.2169,0.6118,0.8329,-0.4143,0.2865,-1.5068,0.4667,0.6314,1.1448,0.4637,0.147,-1.1176,0.5075,-0.7637,-0.3389,-0.7823,1,0.1744,1,1
8,0.3878,-0.0896,-0.3082,-0.7874,0.0728,-0.6576,1.1847,-0.5786,0.6797,-0.4045,-0.4213,-0.6583,-0.9792,-0.1015,-1.059,-0.3121,0.7301,0.0018,-0.2151,-0.3184,-0.7823,2,2.1583,1,1
3,-0.2825,0.2621,1.314,0.6532,0.5121,0.2169,0.1494,0.4572,0.1744,0.2865,0.9747,-0.6583,-0.2047,-0.6545,0.8207,-0.3121,-1.3959,-0.0614,-0.4347,-0.6869,1.2327,2,1.4533,1.3333334,1
7,0.879,-0.0424,-0.1512,-1.0499,0.2012,0.2127,0.7904,0.7368,0.9684,-0.043,1.0891,0.0281,-0.2661,-0.1015,-0.7592,-0.6723,0.5012,0.7028,-0.5589,-0.0553,1.8279,2,-1.419,1.6666666,1
8,0.4548,0.4843,-0.013,-0.5794,0.299,0.2169,1.4882,0.1014,-0.2368,-0.8771,-0.1855,0.0083,0.2653,0.0273,0.3335,0.9759,0.1869,0.4793,0.6168,0.5166,0.2907,1,-0.3818,1,1
7,0.6115,2.0345,0.3995,0.2329,2.0165,1.0346,2.0871,2.0073,1.8245,-0.043,1.6762,-0.6583,1.1811,1.8164,-0.4342,0.2621,0.1869,-0.4684,0.3468,2.7249,-0.7823,2,-2.0409,1.3333334,1
